Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,31169,-,-,India,19.95,76.45,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Pressure,Wind Speed
2001,3,7,18,30,0,0,3,28.468503761366094,952.2326049804688,1.3914384841918945
2001,3,7,19,30,0,0,2,27.494557451341734,952.8301391601562,1.3291617631912231
2001,3,7,20,30,0,0,2,26.49244778289045,953.3413696289062,1.4507523775100708
2001,3,7,21,30,0,0,0,25.440604141368112,953.3681640625,1.5782058238983154
2001,3,7,22,30,0,0,0,24.40281612572062,953.3011474609375,1.6994658708572388
2001,3,7,23,30,0,0,-1,23.353679083563975,953.1627197265625,1.879133701324463
2001,3,8,0,30,0,0,-1,22.335185544169633,952.7578735351562,2.060089111328125
2001,3,8,1,30,0,0,-2,21.356796960800864,952.4467163085938,2.179964303970337
2001,3,8,2,30,0,0,-2,20.47864015279856,952.2423706054688,2.2895009517669678
2001,3,8,3,30,0,0,-2,19.743014367145804,952.2192993164062,2.321451187133789
2001,3,8,4,30,0,0,-1,19.123834075223556,952.7305908203125,2.2191364765167236
2001,3,8,5,30,0,0,0,18.63090405709653,953.0433349609375,2.0125489234924316
2001,3,8,6,30,0,0,2,19.906147533283047,953.7445068359375,1.7507591247558594
2001,3,8,7,30,91,144,2,24.069936367410833,954.0798950195312,1.286054015159607
