,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Pressure,Wind Speed,Time
86,2001,1,4,14,30,196,668,7,30.72312005732789,955.0341186523438,0.811468780040741,14:30:00
87,2001,1,4,15,30,168,573,7,29.126539366247698,954.8803100585938,1.1265664100646973,15:30:00
88,2001,1,4,16,30,155,284,9,26.389412232189894,955.110595703125,1.5969927310943604,16:30:00
89,2001,1,4,17,30,29,0,10,23.283565026334372,955.5298461914062,2.2841296195983887,17:30:00
90,2001,1,4,18,30,0,0,9,22.04372866852941,956.2263793945312,2.810971736907959,18:30:00
102,2001,1,5,6,30,0,0,5,13.013129709896136,957.4219970703124,1.86800479888916,06:30:00
103,2001,1,5,7,30,40,33,5,15.687916351958735,957.6785888671876,1.4738821983337402,07:30:00
104,2001,1,5,8,30,148,328,5,19.25523115465268,958.0458374023438,1.1803820133209229,08:30:00
105,2001,1,5,9,30,172,578,5,24.27236062758317,958.1834106445312,1.1739014387130735,09:30:00
106,2001,1,5,10,30,196,672,5,28.59655225408455,957.6759033203124,0.4599466919898987,10:30:00
107,2001,1,5,11,30,213,728,5,30.56330723536519,957.0166015625,0.06317640841007233,11:30:00
108,2001,1,5,12,30,217,743,5,31.428731495646787,955.917724609375,0.3007281422615051,12:30:00
109,2001,1,5,13,30,212,727,5,31.4690997626858,954.9567260742188,0.4597847163677216,13:30:00
110,2001,1,5,14,30,198,679,4,30.686022740366184,954.0881958007812,0.6635727882385254,14:30:00
111,2001,1,5,15,30,172,577,4,29.07918814303599,954.2046508789062,0.8805458545684814,15:30:00
112,2001,1,5,16,30,149,294,8,26.332876225763588,954.4677124023438,1.2998064756393433,16:30:00
113,2001,1,5,17,30,28,0,10,23.074480063482557,954.8482666015624,1.9062683582305908,17:30:00
114,2001,1,5,18,30,0,0,9,21.88654402788734,955.71826171875,2.335279941558838,18:30:00
126,2001,1,6,6,30,0,0,6,13.61147136903196,957.3720092773438,2.590224266052246,06:30:00
127,2001,1,6,7,30,40,32,6,16.285753616286968,958.2470092773438,2.208229780197144,07:30:00
128,2001,1,6,8,30,121,400,6,19.80449131265601,959.1875,1.748389482498169,08:30:00
129,2001,1,6,9,30,169,571,5,25.056036058800487,959.34765625,1.78743577003479,09:30:00
130,2001,1,6,10,30,196,665,4,28.81061968171633,958.60693359375,1.574221968650818,10:30:00
131,2001,1,6,11,30,210,713,5,30.842058660432887,957.4284057617188,1.113600492477417,11:30:00
132,2001,1,6,12,30,215,727,5,31.967864657575323,955.8204956054688,0.7143223881721497,12:30:00
133,2001,1,6,13,30,210,713,6,32.16924865403473,954.5109252929688,0.4467164278030396,13:30:00
